location,count,crime_type
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2005.0,general
Arunachal Pradesh,2006.0,general
Arunachal Pradesh,2006.0,general
Arunachal Pradesh,2006.0,general
Arunachal Pradesh,2006.0,general
Arunachal Pradesh,2006.0,general
